Month/Year,Affiliate Referral,Content Syndication,Digital Total,Digital Discovery,Digital Display,Digital Influencer,Digital Paid Search,Digital Paid Social,Digital Performance Max,Digital Video,Email,Events Total,Events Field / Ancilliary Event,Events Hosted,Events Industry,Events Partner,Events Speaking Engagement,Events Virtual Event,Not a Marketing Channel,Personal Gifting,Press Release,Enterprise Total,Hibernation Total,Other Total,Plus Total,Pro Total,Standard Total,Starter Total,Grand Total Gross New MRR,CCI,Retail_Sector,CPI,Shopify_stock
1/1/2023,96797.11,31393.99,870750.10,0.00,33059.00,1000.00,458644.80,378046.30,0.00,0.00,0.00,294339.04,18465.46,0.00,237658.65,38214.93,0.00,0.00,1369026.94,0.00,33101.07,152496.85,0.00,0.00,8618.67,13737.72,17520.89,0.00,192374.13,97.38,560045.00,7.41,49.27
2/1/2023,79361.33,59991.08,477098.19,0.00,98093.26,2500.00,308419.02,68085.91,0.00,0.00,0.00,320821.77,25132.00,434.95,141709.21,153545.61,0.00,0.00,818640.80,0.00,17490.36,61331.08,1490.00,0.00,10480.32,8141.15,18553.93,395.00,100391.48,97.49,555928.00,7.88,41.14
3/1/2023,90695.24,111401.14,681485.51,1027.43,118076.30,-7500.00,361205.83,208675.95,0.00,0.00,0.00,640780.66,106914.12,0.00,477079.24,56787.30,0.00,0.00,1705447.55,0.00,14312.29,195944.20,350.00,0.00,9774.00,14660.00,22977.00,0.00,243705.20,97.38,549907.00,4.62,47.94
4/1/2023,72269.23,199247.23,571067.19,4266.60,133083.24,0.00,395844.15,37873.20,0.00,0.00,0.00,106748.48,10460.00,2472.61,121815.25,-27999.38,0.00,0.00,1105464.32,0.00,52806.88,88330.65,0.00,700.00,8276.00,3790.00,16920.00,0.00,118016.65,97.29,552715.00,5.19,48.45
5/1/2023,113702.00,75644.10,709973.35,3955.88,111982.72,0.00,536221.79,57812.96,0.00,0.00,0.00,702060.17,95015.18,169.55,512040.23,94835.21,0.00,0.00,1465602.13,0.00,17562.75,75482.05,20.00,5000.00,6911.00,9772.00,17476.00,0.00,114661.05,97.29,554719.00,4.84,57.19
6/1/2023,84864.00,38201.91,1011303.71,4119.82,165820.71,-2500.00,710365.80,133497.38,0.00,0.00,0.00,490867.82,80360.00,3045.50,390150.74,17311.58,0.00,0.00,1864940.94,0.00,28244.44,113282.08,0.00,11333.00,9587.00,9825.00,15284.00,0.00,159311.08,97.58,555369.00,4.40,64.60
7/1/2023,102184.00,126258.99,732846.43,3127.49,121906.26,0.00,378100.74,229711.94,0.00,0.00,0.00,534998.54,24780.52,902.22,484634.29,23672.16,1009.35,0.00,1662107.73,0.00,36753.47,45461.23,0.00,200.00,11345.00,9623.95,16726.00,0.00,83356.18,97.92,558584.00,2.49,67.58
8/1/2023,74012.00,96395.24,844176.63,3630.92,121322.89,0.00,461091.70,258131.12,0.00,0.00,0.00,407391.99,0.00,5040.51,337231.75,65119.73,0.00,0.00,1747651.89,0.00,28064.65,61440.33,20.00,0.00,7961.00,8077.00,15289.00,0.00,92787.33,97.96,563381.00,4.36,66.49
9/1/2023,72329.00,85700.00,954136.00,3304.00,131044.00,0.00,551694.00,268094.00,0.00,0.00,0.00,651757.00,20324.00,40000.00,357028.87,234404.13,0.00,0.00,1591058.66,11384.00,36654.00,97696.37,20.00,0.00,5437.00,6981.00,12887.00,0.00,123021.37,97.78,567782.00,5.22,54.57
10/1/2023,65750.87,135570.00,641293.77,1482.08,90523.00,0.00,389589.69,159699.00,0.00,0.00,0.00,512005.82,4636.82,4943.36,356951.74,54361.38,91112.52,0.00,1497475.13,5481.95,33323.49,43639.30,20.00,0.00,6279.00,6284.00,13599.00,0.00,69821.30,97.57,567104.00,3.50,47.19
11/1/2023,60944.13,66500.00,687803.22,1589.25,107224.26,0.00,391003.73,187985.98,0.00,0.00,0.00,471430.44,96346.17,25804.81,257925.04,67497.00,23857.42,0.00,1469183.71,9031.31,29335.15,59759.92,0.00,2700.00,5518.00,6781.00,11554.00,79.00,86391.92,97.65,567582.00,5.12,72.82
12/1/2023,123992.00,149000.00,743777.35,21037.44,102938.87,0.00,451920.43,167880.61,0.00,0.00,0.00,111073.78,4801.26,12038.15,81950.54,12283.83,0.00,0.00,1428279.31,9257.80,29731.93,57123.00,0.00,0.00,4888.00,12866.00,10795.00,0.00,85672.00,98.16,569502.00,4.16,77.90
1/1/2024,102861.68,51506.52,472687.71,0.00,0.00,0.00,472687.71,0.00,0.00,0.00,0.00,417104.92,40000.00,22.46,371914.98,5167.48,0.00,0.00,675655.84,0.00,37586.34,66755.67,20.00,0.00,5334.00,5385.75,13929.00,0.00,91424.42,98.77,564886.00,6.54,80.07
2/1/2024,57153.00,97810.43,577707.16,0.00,0.00,0.00,577707.16,0.00,0.00,0.00,0.00,166937.17,48712.50,16448.62,81571.25,7704.80,0.00,12500.00,586101.44,0.00,32212.70,66237.25,0.00,0.00,5360.00,3391.50,10432.00,158.00,85578.75,99.06,566846.00,4.56,76.37
3/1/2024,97866.50,66396.55,657551.25,0.00,6000.00,0.00,651551.25,0.00,0.00,0.00,0.00,462401.41,83796.26,18909.73,294854.85,27340.57,37500.00,0.00,675968.09,0.00,37721.70,93023.63,0.00,8475.00,7511.00,2693.25,9654.00,0.00,121356.88,99.09,570253.00,4.33,77.17
4/1/2024,74392.92,107142.55,606536.07,0.00,0.00,0.00,606536.07,0.00,0.00,0.00,7002.55,339749.70,23721.87,129544.12,48837.19,122646.52,0.00,15000.00,463245.87,2044.85,35847.22,83999.00,0.00,0.00,20717.95,4713.71,12331.00,0.00,121761.66,98.80,570577.00,4.25,70.20
5/1/2024,9000.00,91276.30,576778.59,0.00,0.00,0.00,576778.59,0.00,0.00,0.00,0.00,205590.46,1922.78,29408.86,137001.58,37257.24,0.00,0.00,626193.16,0.00,34977.37,55603.00,0.00,5000.00,27909.00,4613.96,12472.00,0.00,105597.96,98.32,570764.00,3.02,59.15
6/1/2024,127834.00,160902.05,696305.43,0.00,0.00,0.00,696305.43,0.00,0.00,0.00,14541.55,767628.39,81655.14,413282.46,215058.48,33632.31,0.00,24000.00,500982.95,12123.70,35847.22,143959.28,0.00,12100.00,34551.00,7419.98,10723.00,0.00,208753.26,97.99,573599.00,2.36,66.05
7/1/2024,88566.50,82872.83,517263.48,0.00,0.00,0.00,517263.48,0.00,0.00,0.00,0.00,267437.57,45401.02,36577.68,128778.57,32680.30,0.00,24000.00,372086.83,0.00,20467.28,18493.00,0.00,0.00,8090.00,4040.45,11687.00,0.00,42310.45,97.85,576484.00,3.80,61.20
8/1/2024,85045.29,40695.50,534018.44,0.00,0.00,0.00,534018.44,0.00,0.00,0.00,0.00,673727.36,-33273.85,656024.85,12509.40,38466.96,0.00,0.00,242612.03,5000.00,27275.00,65750.00,0.00,450.00,5440.00,4688.25,9970.00,0.00,86298.25,97.91,576099.00,3.18,74.07
9/1/2024,53192.75,249535.95,253743.31,0.00,6000.00,0.00,247743.31,0.00,0.00,0.00,29244.20,167513.00,46950.53,46901.14,25562.98,48098.35,0.00,0.00,353579.09,0.00,29790.00,63950.00,0.00,0.00,4992.00,4588.50,9663.00,0.00,83193.50,98.06,581804.00,4.15,80.14
