Month/Year (FY),Content Marketing - Content Syndication,Digital - Affiliates,Digital - Agency Fees/ Partner,Digital - Discovery,Digital - Display,Digital - Display Non Brand,Digital - Influencer,Digital - Paid Search,Digital - Paid Search (SEM),Digital - Paid Search (SEM) Brand,Digital - Paid Search (SEM) Non-Brand,Digital - Paid Social,Digital - Paid Social Brand,Digital - Paid Social Non Brand,Digital - Performance Max,Digital - Retargeting Paid Display,Digital - Retargeting Paid Search,Digital - Retargeting Paid Social,Digital - Video,Website content and services - Search Engine Optimization (SEO),Grand Total,Grand Total Gross New MRR
1/1/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/1/2023,0.00,0.00,0.00,9774.20,88519.30,5570.10,0.00,0.00,286840.80,2913.60,8896.10,68544.80,0.00,15281.50,0.00,5003.20,0.00,0.00,0.00,0.00,491343.60,496346.80
3/1/2023,0.00,0.00,0.00,25913.42,0.00,114074.39,0.00,0.00,0.00,159282.80,180965.63,0.00,0.00,162363.56,11939.81,5658.46,0.00,4044.18,7767.68,0.00,672009.93,701420.06
4/1/2023,0.00,0.00,0.00,33448.82,1685.74,111971.09,0.00,0.00,330.45,73355.20,198760.50,0.00,4390.17,119563.71,13062.37,7546.24,0.00,4869.03,8703.33,0.00,577686.65,611867.62
5/1/2023,0.00,0.00,0.00,24668.62,0.00,110007.36,0.00,0.00,163.92,168097.78,266019.27,0.00,6392.47,87073.99,13285.03,5887.47,0.00,4998.61,32980.50,0.00,719575.02,776726.63
6/1/2023,0.00,0.00,0.00,20272.75,0.00,166443.59,0.00,0.00,0.00,144479.94,436725.72,0.00,0.00,97034.62,18419.64,9090.33,0.00,3992.67,27724.63,0.00,924183.89,983411.16
7/1/2023,0.00,0.00,0.00,8049.51,0.00,119792.63,0.00,0.00,0.00,161509.33,304932.63,0.00,0.00,116970.17,11222.80,8677.05,0.00,3345.23,42423.76,0.00,776923.11,842591.95
8/1/2023,0.00,0.00,0.00,2728.00,0.00,122093.33,0.00,0.00,0.00,224302.00,201798.00,0.00,0.00,221137.00,14184.00,7295.00,0.00,0.00,31994.00,0.00,825531.33,879004.33
9/1/2023,0.00,0.00,0.00,1173.00,0.00,135265.00,0.00,0.00,0.00,227100.00,316919.00,0.00,0.00,203130.00,16904.00,3896.00,0.00,0.00,26954.00,0.00,931341.00,979095.00
10/1/2023,0.00,0.00,0.00,168.00,0.00,81644.00,0.00,0.00,0.00,206419.00,176225.00,0.00,0.00,120874.00,11003.00,5185.00,0.00,0.00,18371.00,0.00,619889.00,654448.00
11/1/2023,0.00,0.00,0.00,951.00,0.00,96968.00,0.00,0.00,0.00,182125.00,214289.00,0.00,0.00,131026.00,6697.00,4994.00,0.00,0.00,17459.00,0.00,654509.00,683659.00
12/1/2023,0.00,0.00,0.00,1837.00,0.00,69446.00,0.00,0.00,0.00,190275.00,197132.00,0.00,0.00,121389.00,5294.00,4667.00,0.00,0.00,18523.00,0.00,608563.00,637047.00
1/1/2024,0.00,0.00,0.00,423.23,75649.24,0.00,0.00,321761.42,0.00,0.00,0.00,113324.18,0.00,0.00,2406.91,0.00,0.00,0.00,40297.91,0.00,553862.89,596567.71
2/1/2024,0.00,0.00,0.00,226.57,65075.08,0.00,0.00,368467.80,0.00,0.00,0.00,99212.05,0.00,0.00,4553.69,0.00,0.00,0.00,38399.27,0.00,575934.46,618887.42
3/1/2024,0.00,0.00,0.00,0.00,75951.41,0.00,0.00,379981.21,0.00,0.00,0.00,154377.42,0.00,0.00,7397.09,0.00,0.00,0.00,31916.93,0.00,649624.06,688938.08
4/1/2024,0.00,0.00,0.00,20.07,72656.09,0.00,0.00,360474.93,0.00,0.00,0.00,132141.16,0.00,0.00,7036.37,0.00,0.00,0.00,26552.31,0.00,598880.93,632469.61
5/1/2024,0.00,0.00,0.00,0.00,85041.52,0.00,0.00,329079.39,0.00,0.00,0.00,129522.72,0.00,0.00,7748.56,0.00,0.00,0.00,23623.10,0.00,575015.29,606386.95
6/1/2024,0.00,0.00,0.00,0.00,121039.26,0.00,0.00,335132.98,0.00,0.00,0.00,173627.13,0.00,0.00,8616.60,0.00,0.00,0.00,29972.88,0.00,668388.85,706978.33
7/1/2024,0.00,0.00,0.00,0.00,68037.58,0.00,0.00,301814.61,0.00,0.00,0.00,108871.74,0.00,0.00,2217.07,0.00,0.00,0.00,34958.59,0.00,515899.59,553075.25
8/1/2024,0.00,0.00,0.00,2731.33,73279.63,0.00,0.00,310630.99,0.00,0.00,0.00,108721.66,0.00,0.00,4130.91,0.00,0.00,0.00,32253.79,0.00,531748.31,568133.01
9/1/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
